tipo_metrica,detector,umbral,escenario,delta_sigma,arl0,arl0_ic_low,arl0_ic_high,arl0_censurados,arl0_n_streams,arl1,arl1_ic_low,arl1_ic_high,arl1_censurados,arl1_n_streams,arl1_excluidos_pre_tau
auc,CUSUM,1.59375,cambio_varianza,0.5,20.555,17.922240327476445,23.187759672523555,0,200,8.733333333333333,5.5244915637978345,11.94217510286883,0,30,170
auc,CUSUM,1.59375,cambio_varianza,1.0,20.555,17.922240327476445,23.187759672523555,0,200,5.625,3.75033551388952,7.49966448611048,0,32,168
auc,CUSUM,1.59375,cambio_varianza,1.5,20.555,17.922240327476445,23.187759672523555,0,200,9.0,6.238401262636641,11.761598737363359,0,29,171
auc,CUSUM,1.59375,cambio_varianza,2.0,20.555,17.922240327476445,23.187759672523555,0,200,8.04,5.064326648751019,11.01567335124898,0,25,175
auc,CUSUM,1.59375,cambio_varianza,3.0,20.555,17.922240327476445,23.187759672523555,0,200,4.583333333333333,3.00085698249387,6.165809684172796,0,24,176
auc,CUSUM,1.59375,deriva,0.5,20.555,17.922240327476445,23.187759672523555,0,200,13.866666666666667,10.456434742328122,17.276898591005214,0,15,185
auc,CUSUM,1.59375,deriva,1.0,20.555,17.922240327476445,23.187759672523555,0,200,7.72,5.690918736636372,9.749081263363628,0,25,175
auc,CUSUM,1.59375,deriva,1.5,20.555,17.922240327476445,23.187759672523555,0,200,7.88,5.823338212863703,9.936661787136297,0,25,175
auc,CUSUM,1.59375,deriva,2.0,20.555,17.922240327476445,23.187759672523555,0,200,8.766666666666667,7.34866394847031,10.184669384863026,0,30,170
auc,CUSUM,1.59375,deriva,3.0,20.555,17.922240327476445,23.187759672523555,0,200,6.25,5.247185843795543,7.252814156204457,0,24,176
auc,CUSUM,1.59375,salto,0.5,20.555,17.922240327476445,23.187759672523555,0,200,10.185185185185185,6.7295947760878025,13.640775594282568,0,27,173
auc,CUSUM,1.59375,salto,1.0,20.555,17.922240327476445,23.187759672523555,0,200,6.411764705882353,2.434326518698048,10.389202893066658,0,17,183
auc,CUSUM,1.59375,salto,1.5,20.555,17.922240327476445,23.187759672523555,0,200,2.2666666666666666,1.9158833287049402,2.617450004628393,0,30,170
auc,CUSUM,1.59375,salto,2.0,20.555,17.922240327476445,23.187759672523555,0,200,1.8,1.238381286861479,2.361618713138521,0,20,180
auc,CUSUM,1.59375,salto,3.0,20.555,17.922240327476445,23.187759672523555,0,200,1.56,1.1507399848507065,1.9692600151492936,0,25,175
auc,CUSUM,2.1875,cambio_varianza,0.5,28.59,25.143116607599843,32.036883392400156,6,200,10.927272727272728,8.51583002487479,13.338715429670666,0,55,145
auc,CUSUM,2.1875,cambio_varianza,1.0,28.59,25.143116607599843,32.036883392400156,6,200,7.5576923076923075,5.807415545727583,9.307969069657032,0,52,148
auc,CUSUM,2.1875,cambio_varianza,1.5,28.59,25.143116607599843,32.036883392400156,6,200,10.304347826086957,8.068466925268108,12.540228726905806,0,46,154
auc,CUSUM,2.1875,cambio_varianza,2.0,28.59,25.143116607599843,32.036883392400156,6,200,9.380952380952381,6.69746316667489,12.064441595229873,0,42,158
auc,CUSUM,2.1875,cambio_varianza,3.0,28.59,25.143116607599843,32.036883392400156,6,200,7.3125,4.787434968536342,9.837565031463658,0,48,152
auc,CUSUM,2.1875,deriva,0.5,28.59,25.143116607599843,32.036883392400156,6,200,18.0,15.100944186667089,20.89905581333291,0,38,162
auc,CUSUM,2.1875,deriva,1.0,28.59,25.143116607599843,32.036883392400156,6,200,12.423076923076923,10.227869166970425,14.618284679183422,0,52,148
auc,CUSUM,2.1875,deriva,1.5,28.59,25.143116607599843,32.036883392400156,6,200,9.568181818181818,7.40584577688592,11.730517859477716,0,44,156
auc,CUSUM,2.1875,deriva,2.0,28.59,25.143116607599843,32.036883392400156,6,200,9.948275862068966,8.806017047468387,11.090534676669545,0,58,142
auc,CUSUM,2.1875,deriva,3.0,28.59,25.143116607599843,32.036883392400156,6,200,7.87037037037037,6.934801225979852,8.805939514760889,0,54,146
auc,CUSUM,2.1875,salto,0.5,28.59,25.143116607599843,32.036883392400156,6,200,11.733333333333333,8.964696459091039,14.501970207575626,0,45,155
auc,CUSUM,2.1875,salto,1.0,28.59,25.143116607599843,32.036883392400156,6,200,7.136363636363637,4.7092898546187465,9.563437418108528,0,44,156
auc,CUSUM,2.1875,salto,1.5,28.59,25.143116607599843,32.036883392400156,6,200,3.1636363636363636,2.573191695585244,3.754081031687483,0,55,145
auc,CUSUM,2.1875,salto,2.0,28.59,25.143116607599843,32.036883392400156,6,200,2.1,1.7232985266819363,2.476701473318064,0,50,150
auc,CUSUM,2.1875,salto,3.0,28.59,25.143116607599843,32.036883392400156,6,200,1.6458333333333333,1.3881995573458847,1.9034671093207818,0,48,152
auc,CUSUM,3.96875,cambio_varianza,0.5,55.825,51.07273113430445,60.57726886569556,47,200,19.091743119266056,16.132157157468765,22.051329081063347,4,109,91
auc,CUSUM,3.96875,cambio_varianza,1.0,55.825,51.07273113430445,60.57726886569556,47,200,17.645454545454545,14.885807671036767,20.405101419872324,5,110,90
auc,CUSUM,3.96875,cambio_varianza,1.5,55.825,51.07273113430445,60.57726886569556,47,200,19.946428571428573,17.052207278594885,22.84064986426226,6,112,88
auc,CUSUM,3.96875,cambio_varianza,2.0,55.825,51.07273113430445,60.57726886569556,47,200,18.636363636363637,15.454375762100769,21.818351510626503,2,99,101
auc,CUSUM,3.96875,cambio_varianza,3.0,55.825,51.07273113430445,60.57726886569556,47,200,20.27433628318584,17.042752383979227,23.50592018239245,8,113,87
auc,CUSUM,3.96875,deriva,0.5,55.825,51.07273113430445,60.57726886569556,47,200,27.65137614678899,24.341403401765152,30.96134889181283,10,109,91
auc,CUSUM,3.96875,deriva,1.0,55.825,51.07273113430445,60.57726886569556,47,200,19.47107438016529,17.71241075110736,21.229738009223222,0,121,79
auc,CUSUM,3.96875,deriva,1.5,55.825,51.07273113430445,60.57726886569556,47,200,13.91304347826087,12.541125661599802,15.284961294921937,0,115,85
auc,CUSUM,3.96875,deriva,2.0,55.825,51.07273113430445,60.57726886569556,47,200,13.042372881355933,12.228109599434418,13.856636163277447,0,118,82
auc,CUSUM,3.96875,deriva,3.0,55.825,51.07273113430445,60.57726886569556,47,200,10.101694915254237,9.377505071050503,10.82588475945797,0,118,82
