mes_objetivo,fecha_prediccion,probabilidad_sube,posicion,objetivo,fin_entrenamiento,n_entrenamiento,acierto,config_hash,commit,hash_datos,generado_en
1974-07-31,1974-06-30,0.7619353390153515,1,1.0,1974-05-31,120,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1974-08-31,1974-07-31,0.8901656503036489,1,1.0,1974-05-31,120,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1974-09-30,1974-08-31,0.8527950127904786,1,1.0,1974-05-31,120,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1974-10-31,1974-09-30,0.9139159808245445,1,0.0,1974-05-31,120,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1974-11-30,1974-10-31,0.3450867898526236,-1,0.0,1974-05-31,120,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1974-12-31,1974-11-30,0.5626975561166233,1,1.0,1974-05-31,120,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-01-31,1974-12-31,0.6701733096393975,1,1.0,1974-11-30,126,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-02-28,1975-01-31,0.8560419830025321,1,0.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-03-31,1975-02-28,0.4493981432607741,-1,1.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-04-30,1975-03-31,0.7052116182194397,1,0.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-05-31,1975-04-30,0.5464565051806066,1,0.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-06-30,1975-05-31,0.3531310340570634,-1,1.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-07-31,1975-06-30,0.5378741083183509,1,1.0,1974-11-30,126,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-08-31,1975-07-31,0.5525850045982761,1,0.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-09-30,1975-08-31,0.32802613864088825,-1,1.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-10-31,1975-09-30,0.2698198762042959,-1,1.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1975-11-30,1975-10-31,0.35589301078379415,-1,1.0,1974-11-30,126,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
