modelo,tramo,desde,hasta,meses,acierto,sharpe_anual_bruto,sharpe_anual_neto,cambios_por_ano,psr_neto_vs_0,config_hash,commit,hash_datos,generado_en
ML (logística),referencia,1974-07-31,1990-12-31,198,0.5505,0.6792,0.556,3.76,0.9458,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
ML (logística),vigilancia,1991-01-31,2026-07-31,427,0.5878,0.5052,0.4481,3.18,0.9966,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
ML (logística),total,1974-07-31,2026-07-31,625,0.576,0.5246,0.4562,3.38,0.9992,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
Siempre largo (baseline),referencia,1974-07-31,1990-12-31,198,0.5758,0.8388,0.8378,0.0,0.9909,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
Siempre largo (baseline),vigilancia,1991-01-31,2026-07-31,427,0.4848,0.231,0.231,0.0,0.9162,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
Siempre largo (baseline),total,1974-07-31,2026-07-31,625,0.5136,0.3436,0.3434,0.0,0.991,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
Regla momentum 12m (baseline),referencia,1974-07-31,1990-12-31,198,0.5354,0.526,0.4834,1.27,0.9195,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
Regla momentum 12m (baseline),vigilancia,1991-01-31,2026-07-31,427,0.5597,0.2561,0.2327,1.32,0.9179,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
Regla momentum 12m (baseline),total,1974-07-31,2026-07-31,625,0.552,0.3017,0.2752,1.31,0.9717,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
ML − Siempre largo,referencia,1974-07-31,1990-12-31,198,-0.0253,,-0.1984,,0.2112,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
ML − Siempre largo,vigilancia,1991-01-31,2026-07-31,427,0.103,,0.195,,0.8809,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
ML − Siempre largo,total,1974-07-31,2026-07-31,625,0.0624,,0.0976,,0.761,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
ML − Regla momentum 12m,referencia,1974-07-31,1990-12-31,198,0.0152,,0.0455,,0.5733,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
ML − Regla momentum 12m,vigilancia,1991-01-31,2026-07-31,427,0.0281,,0.1976,,0.8813,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
ML − Regla momentum 12m,total,1974-07-31,2026-07-31,625,0.024,,0.1558,,0.8704,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
